Team,TIER,OVR,INS,OUT,ATH,PLA,DEF,REB,INT,POT,Best Player's Overall
Atlanta Hawks,T3,82,61,82,75,68,64,59,83,83,89  Trae Young
Boston Celtics,T1,86,81,91,82,70,69,58,93,86,95  Jayson Tatum
Brooklyn Nets,T3,80,68,77,80,62,66,60,79,82,83  Mikal Bridges
Charlotte Hornets,T3,80,66,81,77,67,61,59,84,82,88  LaMelo Ball
Chicago Bulls,T3,82,76,85,80,72,66,56,74,83,88  DeMar DeRozan
Cleveland Cavaliers,T1,82,74,82,83,66,66,55,69,84,93  Donovan Mitchell
Dallas Mavericks,T2,83,75,87,78,75,64,60,87,84,97  Luka Doncic
Denver Nuggets,T2,83,78,85,77,76,65,63,84,84,98  Nikola Jokic
Detroit Pistons,T3,79,74,76,83,71,63,60,67,83,86  Cade Cunningham
Golden State Warriors,T2,82,60,87,80,77,66,57,76,88,95  Stephen Curry
Houston Rockets,T2,82,77,84,78,77,68,66,86,85,86  Alperen Sengun
Indiana Pacers,T2,83,74,89,76,69,65,54,80,84,91  Tyrese Haliburton
Los Angeles Clippers,T1,83,76,89,84,80,66,59,78,85,92  Kawhi Leonard
Los Angeles Lakers,T1,83,90,86,88,79,66,57,79,85,96  LeBron James
Memphis Grizzlies,T1,82,77,85,82,73,70,55,80,83,93  Ja Morant
Miami Heat,T1,82,81,83,84,77,62,56,83,85,93  Jimmy Butler
Milwaukee Bucks,T1,83,76,85,87,81,66,57,72,85,97  Giannis Antetokounmpo
Minnesota Timberwolves,T1,83,80,82,78,62,70,55,83,84,95  Anthony Edwards
New Orleans Pelicans,T2,82,84,85,81,74,66,56,74,84,88  Zion Williamson
New York Knicks,T2,84,74,84,82,79,67,62,88,84,94  Jalen Brunson
Oklahoma City Thunder,T1,83,72,92,82,78,68,56,76,85,97  Shai Gilgeous-Alexander
Orlando Magic,T2,82,80,85,80,76,63,63,86,83,89  Paolo Banchero
Philadelphia 76ers,T1,83,80,90,79,75,66,57,88,84,98  Joel Embiid
Phoenix Suns,T2,83,82,91,81,83,63,55,80,85,96  Kevin Durant
Portland Trail Blazers,T2,81,74,84,80,67,62,56,77,84,85  Deandre Ayton
Sacramento Kings,T3,81,73,87,78,74,61,54,73,83,90  Domantas Sabonis
San Antonio Spurs,T3,80,76,85,76,73,63,60,78,83,89  Victor Wembanyama
Toronto Raptors,T3,81,73,82,83,78,63,55,87,83,85  Scottie Barnes
Utah Jazz,T3,80,70,84,72,57,59,57,81,82,86  Lauri Markkanen
Washington Wizards,T3,79,71,82,79,76,61,56,81,82,83  Kyle Kuzma