Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Fri, Mar 1, 2024",7:00p,Cleveland Cavaliers,110,Detroit Pistons,100,Box Score,,"19,299",Little Caesars Arena,
"Fri, Mar 1, 2024",7:00p,Charlotte Hornets,114,Philadelphia 76ers,121,Box Score,,"19,788",Wells Fargo Center,
"Fri, Mar 1, 2024",7:30p,Dallas Mavericks,110,Boston Celtics,138,Box Score,,"19,156",TD Garden,
"Fri, Mar 1, 2024",7:30p,Golden State Warriors,120,Toronto Raptors,105,Box Score,,"19,8",Scotiabank Arena,
"Fri, Mar 1, 2024",8:00p,Portland Trail Blazers,122,Memphis Grizzlies,92,Box Score,,"15,493",FedEx Forum,
"Fri, Mar 1, 2024",8:00p,Sacramento Kings,124,Minnesota Timberwolves,120,Box Score,OT,"18,024",Target Center,
"Fri, Mar 1, 2024",8:00p,Indiana Pacers,102,New Orleans Pelicans,129,Box Score,,"17,898",Smoothie King Center,
"Fri, Mar 1, 2024",10:00p,Milwaukee Bucks,113,Chicago Bulls,97,Box Score,,"21,249",United Center,
"Fri, Mar 1, 2024",10:30p,Washington Wizards,115,Los Angeles Clippers,140,Box Score,,"19,37",Crypto.com Arena,
"Sat, Mar 2, 2024",3:00p,Atlanta Hawks,102,Brooklyn Nets,114,Box Score,,"18,075",Barclays Center,
"Sat, Mar 2, 2024",5:00p,Utah Jazz,120,Miami Heat,126,Box Score,,"19,858",Kaseya Center,
"Sat, Mar 2, 2024",8:00p,Portland Trail Blazers,107,Memphis Grizzlies,100,Box Score,OT,"16,381",FedEx Forum,
"Sat, Mar 2, 2024",8:30p,Denver Nuggets,124,Los Angeles Lakers,114,Box Score,,"18,997",Crypto.com Arena,
"Sat, Mar 2, 2024",9:00p,Houston Rockets,118,Phoenix Suns,109,Box Score,,"17,071",Footprint Center,
"Sun, Mar 3, 2024",1:00p,Philadelphia 76ers,120,Dallas Mavericks,116,Box Score,,"20,277",American Airlines Center,
"Sun, Mar 3, 2024",3:30p,Golden State Warriors,88,Boston Celtics,140,Box Score,,"19,156",TD Garden,
"Sun, Mar 3, 2024",3:30p,Los Angeles Clippers,89,Minnesota Timberwolves,88,Box Score,,"18,024",Target Center,
"Sun, Mar 3, 2024",6:00p,Detroit Pistons,91,Orlando Magic,113,Box Score,,"19,459",Kia Center,
"Sun, Mar 3, 2024",6:00p,Charlotte Hornets,106,Toronto Raptors,111,Box Score,,"19,512",Scotiabank Arena,
"Sun, Mar 3, 2024",7:00p,New York Knicks,107,Cleveland Cavaliers,98,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sun, Mar 3, 2024",7:00p,Indiana Pacers,105,San Antonio Spurs,117,Box Score,,"18,027",Frost Bank Center,
"Sun, Mar 3, 2024",9:30p,Oklahoma City Thunder,118,Phoenix Suns,110,Box Score,,"17,071",Footprint Center,
"Mon, Mar 4, 2024",7:30p,Memphis Grizzlies,106,Brooklyn Nets,102,Box Score,,"15,847",Barclays Center,
"Mon, Mar 4, 2024",8:00p,Los Angeles Clippers,106,Milwaukee Bucks,113,Box Score,,"17,875",Fiserv Forum,
"Mon, Mar 4, 2024",8:00p,Portland Trail Blazers,114,Minnesota Timberwolves,119,Box Score,,"18,024",Target Center,
"Mon, Mar 4, 2024",9:00p,Washington Wizards,115,Utah Jazz,127,Box Score,,"18,206",Delta Center,
"Mon, Mar 4, 2024",10:00p,Chicago Bulls,113,Sacramento Kings,109,Box Score,,"17,832",Golden 1 Center,
"Mon, Mar 4, 2024",10:30p,Oklahoma City Thunder,104,Los Angeles Lakers,116,Box Score,,"18,997",Crypto.com Arena,
"Tue, Mar 5, 2024",7:00p,Orlando Magic,101,Charlotte Hornets,89,Box Score,,"15,928",Spectrum Center,
"Tue, Mar 5, 2024",7:30p,Philadelphia 76ers,107,Brooklyn Nets,112,Box Score,,"17,086",Barclays Center,
"Tue, Mar 5, 2024",7:30p,Boston Celtics,104,Cleveland Cavaliers,105,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Tue, Mar 5, 2024",7:30p,Detroit Pistons,110,Miami Heat,118,Box Score,,"19,724",Kaseya Center,
"Tue, Mar 5, 2024",7:30p,Atlanta Hawks,116,New York Knicks,100,Box Score,,"19,812",Madison Square Garden (IV),
"Tue, Mar 5, 2024",7:30p,New Orleans Pelicans,139,Toronto Raptors,98,Box Score,,"18,864",Scotiabank Arena,
"Tue, Mar 5, 2024",8:00p,San Antonio Spurs,101,Houston Rockets,114,Box Score,,"16,734",Toyota Center,
"Tue, Mar 5, 2024",8:30p,Indiana Pacers,137,Dallas Mavericks,120,Box Score,,"20,2",American Airlines Center,
"Tue, Mar 5, 2024",10:00p,Phoenix Suns,117,Denver Nuggets,107,Box Score,OT,"19,589",Ball Arena,
"Wed, Mar 6, 2024",7:00p,Orlando Magic,119,Washington Wizards,109,Box Score,,"16,018",Capital One Arena,
"Wed, Mar 6, 2024",7:30p,Cleveland Cavaliers,101,Atlanta Hawks,112,Box Score,,"15,841",State Farm Arena,
"Wed, Mar 6, 2024",7:30p,Los Angeles Clippers,122,Houston Rockets,116,Box Score,,"17,033",Toyota Center,
"Wed, Mar 6, 2024",7:30p,Memphis Grizzlies,115,Philadelphia 76ers,109,Box Score,,"19,757",Wells Fargo Center,
"Wed, Mar 6, 2024",9:00p,Chicago Bulls,119,Utah Jazz,117,Box Score,,"18,206",Delta Center,
"Wed, Mar 6, 2024",10:00p,Milwaukee Bucks,90,Golden State Warriors,125,Box Score,,"18,064",Chase Center,
"Wed, Mar 6, 2024",10:00p,Oklahoma City Thunder,128,Portland Trail Blazers,120,Box Score,,"17,589",Moda Center,
"Wed, Mar 6, 2024",10:30p,Sacramento Kings,130,Los Angeles Lakers,120,Box Score,,"18,498",Crypto.com Arena,
"Thu, Mar 7, 2024",7:00p,Brooklyn Nets,112,Detroit Pistons,118,Box Score,,"19,011",Little Caesars Arena,
"Thu, Mar 7, 2024",7:00p,Minnesota Timberwolves,113,Indiana Pacers,111,Box Score,,"16,58",Gainbridge Fieldhouse,
"Thu, Mar 7, 2024",7:30p,Miami Heat,108,Dallas Mavericks,114,Box Score,,"20,221",American Airlines Center,
"Thu, Mar 7, 2024",9:00p,Toronto Raptors,113,Phoenix Suns,120,Box Score,,"17,071",Footprint Center,
"Thu, Mar 7, 2024",10:00p,Boston Celtics,109,Denver Nuggets,115,Box Score,,"19,855",Ball Arena,
"Thu, Mar 7, 2024",10:00p,Chicago Bulls,125,Golden State Warriors,122,Box Score,,"18,064",Chase Center,
"Thu, Mar 7, 2024",10:00p,San Antonio Spurs,129,Sacramento Kings,131,Box Score,,"17,968",Golden 1 Center,
"Fri, Mar 8, 2024",7:00p,New Orleans Pelicans,103,Philadelphia 76ers,95,Box Score,,"19,777",Wells Fargo Center,
"Fri, Mar 8, 2024",7:00p,Charlotte Hornets,100,Washington Wizards,112,Box Score,,"18,778",Capital One Arena,
"Fri, Mar 8, 2024",7:30p,Minnesota Timberwolves,104,Cleveland Cavaliers,113,Box Score,OT,"19,432",Rocket Mortgage Fieldhouse,
"Fri, Mar 8, 2024",7:30p,Orlando Magic,74,New York Knicks,98,Box Score,,"19,812",Madison Square Garden (IV),
"Fri, Mar 8, 2024",8:00p,Atlanta Hawks,99,Memphis Grizzlies,92,Box Score,,"16,667",FedEx Forum,
"Fri, Mar 8, 2024",8:00p,Miami Heat,100,Oklahoma City Thunder,107,Box Score,,"18,203",Paycom Center,
"Fri, Mar 8, 2024",10:00p,Milwaukee Bucks,122,Los Angeles Lakers,123,Box Score,,"18,997",Crypto.com Arena,
"Fri, Mar 8, 2024",10:00p,Houston Rockets,123,Portland Trail Blazers,107,Box Score,,"18,139",Moda Center,
"Sat, Mar 9, 2024",4:00p,Chicago Bulls,102,Los Angeles Clippers,112,Box Score,,"19,37",Crypto.com Arena,
"Sat, Mar 9, 2024",7:00p,Brooklyn Nets,99,Charlotte Hornets,110,Box Score,,"19,09",Spectrum Center,
"Sat, Mar 9, 2024",7:00p,Dallas Mavericks,142,Detroit Pistons,124,Box Score,,"20,062",Little Caesars Arena,
"Sat, Mar 9, 2024",8:30p,San Antonio Spurs,126,Golden State Warriors,113,Box Score,,"18,064",Chase Center,
"Sat, Mar 9, 2024",8:30p,Boston Celtics,117,Phoenix Suns,107,Box Score,,"17,071",Footprint Center,
"Sat, Mar 9, 2024",9:00p,Utah Jazz,121,Denver Nuggets,142,Box Score,,"19,632",Ball Arena,
"Sat, Mar 9, 2024",10:00p,Toronto Raptors,118,Portland Trail Blazers,128,Box Score,OT,"18,117",Moda Center,
"Sun, Mar 10, 2024",3:00p,Milwaukee Bucks,124,Los Angeles Clippers,117,Box Score,,"19,37",Crypto.com Arena,
"Sun, Mar 10, 2024",6:00p,New Orleans Pelicans,116,Atlanta Hawks,103,Box Score,,"17,695",State Farm Arena,
"Sun, Mar 10, 2024",6:00p,Washington Wizards,110,Miami Heat,108,Box Score,,"19,73",Kaseya Center,
"Sun, Mar 10, 2024",6:00p,Indiana Pacers,111,Orlando Magic,97,Box Score,,"19,481",Kia Center,
"Sun, Mar 10, 2024",6:00p,Houston Rockets,112,Sacramento Kings,104,Box Score,,"18,022",Golden 1 Center,
"Sun, Mar 10, 2024",7:00p,Brooklyn Nets,120,Cleveland Cavaliers,101,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sun, Mar 10, 2024",7:00p,Philadelphia 76ers,79,New York Knicks,73,Box Score,,"19,812",Madison Square Garden (IV),
"Sun, Mar 10, 2024",7:00p,Memphis Grizzlies,93,Oklahoma City Thunder,124,Box Score,,"18,203",Paycom Center,
"Sun, Mar 10, 2024",9:30p,Minnesota Timberwolves,109,Los Angeles Lakers,120,Box Score,,"18,997",Crypto.com Arena,
"Mon, Mar 11, 2024",7:00p,Charlotte Hornets,97,Detroit Pistons,114,Box Score,,"18,003",Little Caesars Arena,
"Mon, Mar 11, 2024",7:30p,Phoenix Suns,117,Cleveland Cavaliers,111,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Mon, Mar 11, 2024",8:00p,Dallas Mavericks,127,Chicago Bulls,92,Box Score,,"21,363",United Center,
"Mon, Mar 11, 2024",8:00p,Golden State Warriors,112,San Antonio Spurs,102,Box Score,,"18,354",Frost Bank Center,
"Mon, Mar 11, 2024",9:00p,Toronto Raptors,119,Denver Nuggets,125,Box Score,,"19,652",Ball Arena,
"Mon, Mar 11, 2024",10:30p,Boston Celtics,121,Portland Trail Blazers,99,Box Score,,"18,48",Moda Center,
"Tue, Mar 12, 2024",7:30p,Philadelphia 76ers,79,New York Knicks,106,Box Score,,"19,812",Madison Square Garden (IV),
"Tue, Mar 12, 2024",8:00p,Washington Wizards,97,Memphis Grizzlies,109,Box Score,,"15,291",FedEx Forum,
"Tue, Mar 12, 2024",8:00p,Indiana Pacers,121,Oklahoma City Thunder,111,Box Score,,"17,118",Paycom Center,
"Tue, Mar 12, 2024",8:30p,Houston Rockets,103,San Antonio Spurs,101,Box Score,,"18,751",Frost Bank Center,
"Tue, Mar 12, 2024",9:00p,Boston Celtics,123,Utah Jazz,107,Box Score,,"18,206",Delta Center,
"Tue, Mar 12, 2024",10:00p,Minnesota Timberwolves,118,Los Angeles Clippers,100,Box Score,,"19,37",Crypto.com Arena,
"Tue, Mar 12, 2024",10:00p,Milwaukee Bucks,94,Sacramento Kings,129,Box Score,,"17,832",Golden 1 Center,
"Wed, Mar 13, 2024",7:00p,Toronto Raptors,104,Detroit Pistons,113,Box Score,,"19,313",Little Caesars Arena,
"Wed, Mar 13, 2024",7:00p,Brooklyn Nets,106,Orlando Magic,114,Box Score,,"18,846",Kia Center,
"Wed, Mar 13, 2024",7:30p,Chicago Bulls,132,Indiana Pacers,129,Box Score,OT,"17,274",Gainbridge Fieldhouse,
"Wed, Mar 13, 2024",7:30p,Denver Nuggets,100,Miami Heat,88,Box Score,,"19,921",Kaseya Center,
"Wed, Mar 13, 2024",8:00p,Charlotte Hornets,110,Memphis Grizzlies,98,Box Score,,"16,717",FedEx Forum,
"Wed, Mar 13, 2024",8:00p,Cleveland Cavaliers,116,New Orleans Pelicans,95,Box Score,,"17,727",Smoothie King Center,
"Wed, Mar 13, 2024",8:30p,Golden State Warriors,99,Dallas Mavericks,109,Box Score,,"20,411",American Airlines Center,
"Wed, Mar 13, 2024",10:00p,Atlanta Hawks,102,Portland Trail Blazers,106,Box Score,,"18,064",Moda Center,
"Wed, Mar 13, 2024",10:00p,Los Angeles Lakers,107,Sacramento Kings,120,Box Score,,"18,332",Golden 1 Center,
"Thu, Mar 14, 2024",7:30p,Phoenix Suns,112,Boston Celtics,127,Box Score,,"19,156",TD Garden,
"Thu, Mar 14, 2024",8:00p,Los Angeles Clippers,126,Chicago Bulls,111,Box Score,,"21,219",United Center,
"Thu, Mar 14, 2024",8:00p,Washington Wizards,119,Houston Rockets,135,Box Score,,"18,055",Toyota Center,
"Thu, Mar 14, 2024",8:00p,Philadelphia 76ers,105,Milwaukee Bucks,114,Box Score,,"17,635",Fiserv Forum,
"Thu, Mar 14, 2024",10:00p,Dallas Mavericks,119,Oklahoma City Thunder,126,Box Score,,"18,203",Paycom Center,
"Thu, Mar 14, 2024",10:00p,New York Knicks,105,Portland Trail Blazers,93,Box Score,,"17,768",Moda Center,
"Fri, Mar 15, 2024",7:00p,Phoenix Suns,107,Charlotte Hornets,96,Box Score,,"18,613",Spectrum Center,
"Fri, Mar 15, 2024",7:00p,Miami Heat,108,Detroit Pistons,95,Box Score,,"19,894",Little Caesars Arena,
"Fri, Mar 15, 2024",7:30p,Orlando Magic,113,Toronto Raptors,103,Box Score,,"19,8",Scotiabank Arena,
"Fri, Mar 15, 2024",8:00p,Los Angeles Clippers,104,New Orleans Pelicans,112,Box Score,,"18,865",Smoothie King Center,
"Fri, Mar 15, 2024",8:30p,Denver Nuggets,117,San Antonio Spurs,106,Box Score,,"16,223",Moody Center,
"Fri, Mar 15, 2024",9:30p,Atlanta Hawks,122,Utah Jazz,124,Box Score,,"18,206",Delta Center,
"Sat, Mar 16, 2024",5:00p,Cleveland Cavaliers,103,Houston Rockets,117,Box Score,,"18,055",Toyota Center,
"Sat, Mar 16, 2024",7:00p,Brooklyn Nets,100,Indiana Pacers,121,Box Score,,"17,009",Gainbridge Fieldhouse,
"Sat, Mar 16, 2024",7:00p,Portland Trail Blazers,107,New Orleans Pelicans,126,Box Score,,"17,725",Smoothie King Center,
"Sat, Mar 16, 2024",7:00p,Charlotte Hornets,98,Philadelphia 76ers,109,Box Score,,"19,957",Wells Fargo Center,
